mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,outer_fold
0.756635666,0.082287358,0.006800493,0.00106036,0.05,3,100,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.789785811,0.796802211,0.790180937,0.79225632,0.003218476,4,1
0.805234671,0.181411,0.009821892,0.001770931,0.05,3,200,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.790458698,0.800411366,0.793743053,0.794871039,0.004140706,2,1
0.860522906,0.110530418,0.006473621,0.000767709,0.05,5,100,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",0.786712431,0.796409397,0.791237774,0.791453201,0.0039617,5,1
0.955663125,0.06805837,0.010413408,0.001256292,0.05,5,200,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.782521166,0.795967174,0.788222161,0.7889035,0.005510411,6,1
0.941543102,0.002072212,0.0061903,0.000853522,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.79065803,0.801045169,0.793099217,0.794934139,0.004434589,1,1
0.914005438,0.040600974,0.006363869,0.000637287,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.786800182,0.800040701,0.792030828,0.792957237,0.005444968,3,1
0.60269626,0.390115615,0.009417216,0.002492967,0.1,5,100,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.781736888,0.794897774,0.78762472,0.78808646,0.00538282,7,1
0.112584114,0.003872987,0.022602876,0.004864842,0.1,5,200,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.774494559,0.787284946,0.782119924,0.78129981,0.005253757,8,1
0.075028419,0.024700336,0.005859216,0.001238922,0.05,3,100,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.784120286,0.791342453,0.798166204,0.791209648,0.005734991,3,2
0.122793516,0.028067606,0.008306901,0.000207086,0.05,3,200,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.785739247,0.795423083,0.797552288,0.792904873,0.005140883,1,2
